service_id,date,exception_type
5,20151113,1
5,20151120,1
5,20151127,1
5,20151204,1
5,20151211,1
5,20151218,1
5,20160101,1
5,20160108,1
5,20160115,1
5,20160122,1
5,20160129,1
5,20160205,1
5,20160212,1
5,20160219,1
5,20160226,1
5,20160304,1
5,20160311,1
5,20160318,1
5,20160325,1
6,20150930,1
6,20151001,1
6,20151005,1
6,20151006,1
6,20151007,1
6,20151008,1
6,20151013,1
6,20151014,1
6,20151015,1
6,20151019,1
6,20151020,1
6,20151021,1
6,20151022,1
6,20151026,1
6,20151027,1
6,20151028,1
6,20151029,1
6,20151102,1
6,20151103,1
6,20151104,1
6,20151105,1
6,20151109,1
6,20151110,1
6,20151112,1
6,20151116,1
6,20151117,1
6,20151118,1
6,20151119,1
6,20151123,1
6,20151124,1
6,20151125,1
6,20151130,1
6,20151201,1
6,20151202,1
6,20151203,1
6,20151207,1
6,20151208,1
6,20151209,1
6,20151210,1
6,20151214,1
6,20151215,1
6,20151216,1
6,20151217,1
6,20151221,1
6,20151222,1
6,20151223,1
6,20151224,1
6,20151228,1
6,20151229,1
6,20151230,1
6,20151231,1
6,20160104,1
6,20160105,1
6,20160106,1
6,20160107,1
6,20160111,1
6,20160112,1
6,20160113,1
6,20160114,1
6,20160118,1
6,20160119,1
6,20160120,1
6,20160121,1
6,20160125,1
6,20160126,1
6,20160127,1
6,20160128,1
6,20160201,1
6,20160202,1
6,20160203,1
6,20160204,1
6,20160208,1
6,20160209,1
6,20160210,1
6,20160211,1
6,20160215,1
6,20160216,1
6,20160217,1
6,20160218,1
6,20160222,1
6,20160223,1
6,20160224,1
6,20160225,1
6,20160229,1
6,20160301,1
6,20160302,1
6,20160303,1
6,20160307,1
6,20160308,1
6,20160309,1
6,20160310,1
6,20160314,1
6,20160315,1
6,20160316,1
6,20160317,1
6,20160321,1
6,20160322,1
6,20160323,1
6,20160324,1
7,20151004,1
7,20151011,1
7,20151018,1
7,20151025,1
7,20151101,1
7,20151108,1
7,20151115,1
7,20151122,1
7,20151129,1
7,20151206,1
7,20151213,1
7,20151220,1
7,20151227,1
7,20160103,1
7,20160110,1
7,20160117,1
7,20160124,1
7,20160131,1
7,20160207,1
7,20160214,1
7,20160221,1
7,20160228,1
7,20160306,1
7,20160313,1
7,20160320,1
7,20160327,1
8,20150930,1
8,20151001,1
8,20151005,1
8,20151006,1
8,20151007,1
8,20151008,1
8,20151012,1
8,20151013,1
8,20151014,1
8,20151015,1
8,20151019,1
8,20151020,1
8,20151021,1
8,20151022,1
8,20151026,1
8,20151027,1
8,20151028,1
8,20151029,1
8,20151102,1
8,20151103,1
8,20151104,1
8,20151105,1
8,20151109,1
8,20151110,1
8,20151111,1
8,20151112,1
8,20151116,1
8,20151117,1
8,20151118,1
8,20151119,1
8,20151123,1
8,20151124,1
8,20151125,1
8,20151126,1
8,20151130,1
8,20151201,1
8,20151202,1
8,20151203,1
8,20151207,1
8,20151208,1
8,20151209,1
8,20151210,1
8,20151214,1
8,20151215,1
8,20151216,1
8,20151217,1
8,20151221,1
8,20151222,1
8,20151223,1
8,20151224,1
8,20151228,1
8,20151229,1
8,20151230,1
8,20151231,1
8,20160104,1
8,20160105,1
8,20160106,1
8,20160107,1
8,20160111,1
8,20160112,1
8,20160113,1
8,20160114,1
8,20160118,1
8,20160119,1
8,20160120,1
8,20160121,1
8,20160125,1
8,20160126,1
8,20160127,1
8,20160128,1
8,20160201,1
8,20160202,1
8,20160203,1
8,20160204,1
8,20160208,1
8,20160209,1
8,20160210,1
8,20160211,1
8,20160215,1
8,20160216,1
8,20160217,1
8,20160218,1
8,20160222,1
8,20160223,1
8,20160224,1
8,20160225,1
8,20160229,1
8,20160301,1
8,20160302,1
8,20160303,1
8,20160307,1
8,20160308,1
8,20160309,1
8,20160310,1
8,20160314,1
8,20160315,1
8,20160316,1
8,20160317,1
8,20160321,1
8,20160322,1
8,20160323,1
8,20160324,1
9,20151002,1
9,20151009,1
9,20151016,1
9,20151023,1
9,20151030,1
9,20151106,1
9,20151113,1
9,20151120,1
9,20151127,1
9,20151204,1
9,20151211,1
9,20151218,1
9,20151225,1
9,20160101,1
9,20160108,1
9,20160115,1
9,20160122,1
9,20160129,1
9,20160205,1
9,20160212,1
9,20160219,1
9,20160226,1
9,20160304,1
9,20160311,1
9,20160318,1
9,20160325,1
10,20151003,1
11,20150930,1
11,20151001,1
11,20151002,1
11,20151005,1
11,20151006,1
11,20151007,1
11,20151008,1
11,20151009,1
11,20151012,1
11,20151013,1
11,20151014,1
11,20151015,1
11,20151016,1
11,20151019,1
11,20151020,1
11,20151021,1
11,20151022,1
11,20151023,1
11,20151026,1
11,20151027,1
11,20151028,1
11,20151029,1
11,20151030,1
11,20151102,1
11,20151103,1
11,20151104,1
11,20151105,1
11,20151106,1
11,20151109,1
11,20151110,1
11,20151111,1
11,20151112,1
11,20151113,1
11,20151116,1
11,20151117,1
11,20151118,1
11,20151119,1
11,20151120,1
11,20151123,1
11,20151124,1
11,20151125,1
11,20151126,1
11,20151127,1
11,20151130,1
11,20151201,1
11,20151202,1
11,20151203,1
11,20151204,1
11,20151207,1
11,20151208,1
11,20151209,1
11,20151210,1
11,20151211,1
11,20151214,1
11,20151215,1
11,20151216,1
11,20151217,1
11,20151218,1
11,20151221,1
11,20151222,1
11,20151223,1
11,20151224,1
11,20151225,1
11,20151228,1
11,20151229,1
11,20151230,1
11,20151231,1
11,20160101,1
11,20160104,1
11,20160105,1
11,20160106,1
11,20160107,1
11,20160108,1
11,20160111,1
11,20160112,1
11,20160113,1
11,20160114,1
11,20160115,1
11,20160118,1
11,20160119,1
11,20160120,1
11,20160121,1
11,20160122,1
11,20160125,1
11,20160126,1
11,20160127,1
11,20160128,1
11,20160129,1
11,20160201,1
11,20160202,1
11,20160203,1
11,20160204,1
11,20160205,1
11,20160208,1
11,20160209,1
11,20160210,1
11,20160211,1
11,20160212,1
11,20160215,1
11,20160216,1
11,20160217,1
11,20160218,1
11,20160219,1
11,20160222,1
11,20160223,1
11,20160224,1
11,20160225,1
11,20160226,1
11,20160229,1
11,20160301,1
11,20160302,1
11,20160303,1
11,20160304,1
11,20160307,1
11,20160308,1
11,20160309,1
11,20160310,1
11,20160311,1
11,20160314,1
11,20160315,1
11,20160316,1
11,20160317,1
11,20160318,1
11,20160321,1
11,20160322,1
11,20160323,1
11,20160324,1
11,20160325,1
12,20151010,1
13,20151011,1
